Author	n (strains)	publication title	journal	publication URL	strains
Popa et al	21	unknown	unknown	unknown	Austria/CeMM0004/2020,Austria/CeMM0005/2020,Austria/CeMM0009/2020,Austria/CeMM0001/2020,Austria/CeMM0002/2020,Austria/CeMM0003/2020,Austria/CeMM0010/2020,Austria/CeMM0018/2020,Austria/CeMM0019/2020,Austria/CeMM0014/2020,Austria/CeMM0015/2020,Austria/CeMM0016/2020,Austria/CeMM0008/2020,Austria/CeMM0006/2020,Austria/CeMM0020/2020,Austria/CeMM0011/2020,Austria/CeMM0007/2020,Austria/CeMM0012/2020,Austria/CeMM0013/2020,Austria/CeMM0021/2020,Austria/CeMM0017/2020
Kathrine Stene-Johansen et al	27	unknown	unknown	unknown	Norway/1380/2020,Norway/1455/2020,Norway/1494/2020,Norway/1443/2020,Norway/1694/2020,Norway/1493/2020,Norway/1538/2020,Norway/1379/2020,Norway/2052/2020,Norway/2087/2020,Norway/1867/2020,Norway/2090/2020,Norway/1526/2020,Norway/2088/2020,Norway/1811/2020,Norway/1772/2020,Norway/1495/2020,Norway/1953/2020,Norway/1955/2020,Norway/2084/2020,Norway/1781/2020,Norway/2114/2020,Norway/2113/2020,Norway/1917/2020,Norway/1989/2020,Norway/2065/2020,Norway/1951/2020
Ge et al	1	unknown	unknown	unknown	Fuyang/FY002/2020
Gudbjartsson et al	21	unknown	unknown	unknown	Iceland/13/2020,Iceland/516/2020,Iceland/253/2020,Iceland/597/2020,Iceland/207/2020,Iceland/53/2020,Iceland/209/2020,Iceland/241/2020,Iceland/282/2020,Iceland/465/2020,Iceland/440/2020,Iceland/111/2020,Iceland/250/2020,Iceland/323/2020,Iceland/596/2020,Iceland/300/2020,Iceland/159/2020,Iceland/36/2020,Iceland/158/2020,Iceland/91/2020,Iceland/380/2020
Machablishvili et al	1	unknown	unknown	unknown	Georgia/Tb-537/2020
Capobianchi et al	1	unknown	unknown	unknown	Italy/INMI1-cs/2020
Stefanelli et al	2	unknown	unknown	unknown	Italy/SPL1/2020,Italy/CDG1/2020
M.E. Quinones-Mateu et al	2	unknown	unknown	unknown	NewZealand/CoV002/2020,NewZealand/CoV001/2020
Tomaz Mark Zorec et al	1	unknown	unknown	unknown	Slovenia/808/2020
Iglesias-Caballero et al	3	unknown	unknown	unknown	Spain/Andalucia201272/2020,Spain/CastillayLeon201061/2020,Spain/Madrid201105/2020
Smura et al	22	unknown	unknown	unknown	Finland/FIN01032020/2020,Finland/FIN-274/2020,Finland/FIN03032020B/2020,Finland/14M20/2020,Finland/14M74/2020,Finland/1/2020,Finland/FIN-25/2020,Finland/13M3/2020,Finland/FIN-266/2020,Finland/14M12/2020,Finland/14M16/2020,Finland/14M26/2020,Finland/13M65/2020,Finland/13M60/2020,Finland/13M64/2020,Finland/13M58/2020,Finland/13M82/2020,Finland/13M33/2020,Finland/FIN-455/2020,Finland/13M27/2020,Finland/13M26/2020,Finland/14M32/2020
Roychoudhury et al	2	unknown	unknown	unknown	USA/WA3-UW1/2020,USA/CT-UW250/2020
Schmutz et al	4	unknown	unknown	unknown	Switzerland/1000477102/2020,Switzerland/1000477797/2020,Switzerland/1000477806/2020,Switzerland/1000477796/2020
