Author	n (strains)	publication title	journal	publication URL	strains
Sheng et al	2	unknown	unknown	unknown	Chongqing/YC01/2020,Chongqing/ZX01/2020
Wei et al	2	unknown	unknown	unknown	Fujian/8/2020,Fujian/13/2020
Mohd Noor Mat Isa et al	6	unknown	unknown	unknown	Malaysia/MKAK-CL-2020-6430/2020,Malaysia/MKAK-CL-2020-5096/2020,Malaysia/MKAK-CL-2020-5045/2020,Malaysia/MKAK-CL-2020-5049/2020,Malaysia/MKAK-CL-2020-5047/2020,Malaysia/MKAK-CL-2020-7554/2020
Harrigan et al	17	unknown	unknown	unknown	Canada/BC_8718874/2020,Canada/BC_8159203/2020,Canada/BC_3968175/2020,Canada/BC_4118226/2020,Canada/BC_8894200/2020,Canada/BC_7277381/2020,Canada/BC_35720/2020,Canada/BC_69243/2020,Canada/BC_17397/2020,Canada/BC_13297/2020,Canada/BC_37_0-2/2020,Canada/BC_4143842/2020,Canada/BC_4078583/2020,Canada/BC_4143868/2020,Canada/BC_65034/2020,Canada/BC_66353/2020,Canada/BC_9345042/2020
Chu et al et al	1	unknown	unknown	unknown	USA/WA-S2/2020
Joel Armando Vazquez Perez et al	4	unknown	unknown	unknown	Mexico/CDMX-INER_05/2020,Mexico/CDMX-INER_02/2020,Mexico/CDMX-INER_01/2020,Mexico/CDMX-INER_04/2020
Adnan Araiza Rodriguez et al	1	unknown	unknown	unknown	Mexico/CDMX-InDRE_06/2020
Chu etl al et al	7	unknown	unknown	unknown	USA/WA-S82/2020,USA/WA-S55/2020,USA/WA-S43/2020,USA/WA-S99/2020,USA/WA-S103/2020,USA/WA-S101/2020,USA/WA-S44/2020
Albert et al	26	unknown	unknown	unknown	France/GE1583/2020,France/IDF0373/2020,France/IDF0372/2020,France/IDF0515/2020,France/B2334/2020,France/IDF0626/2020,France/IDF2792/2020,France/N1620/2020,France/HF1684/2020,France/B1623/2020,France/PL1643/2020,Algeria/G0860_2262/2020,Algeria/G0638_2264/2020,Algeria/G0640_2265/2020,France/B2330/2020,France/HF1465/2020,France/HF1645/2020,France/B2336/2020,France/HF2196/2020,France/GE2720/2020,France/GE2722/2020,France/IDF2684/2020,France/IDF3324/2020,France/HF2797/2020,France/IDF3276/2020,France/GE1973/2020
Murtskhvaladze et al	4	unknown	unknown	unknown	Georgia/Tb-390/2020,Georgia/Tb-1523/2020,Georgia/Tb-673/2020,Georgia/Tb-273/2020
Griselda De Marco et al	1	unknown	unknown	unknown	Spain/Valencia6/2020
Nascimento et al	1	unknown	unknown	unknown	Brazil/AMBR-02/2020
Maria Alma Bracho et al	2	unknown	unknown	unknown	Spain/Valencia4/2020,Spain/Valencia43/2020
Giuseppe D'Auria et al	3	unknown	unknown	unknown	Spain/Valencia23/2020,Spain/Valencia13/2020,Spain/Valencia51/2020
Medina et al	3	unknown	unknown	unknown	Chile/Santiago_op3d1/2020,Chile/Santiago_op2d1/2020,Chile/Santiago_op4d1/2020
